terminal,n_changepoints,mape
406136,0,0.16550092547810008
406136,1,0.1780108850302809
406136,2,0.16015361233992656
406136,3,0.17797775191818516
406136,4,0.16021424781180538
406136,5,0.22647336170987972
406139,0,0.24715909388618656
406139,1,0.22906619783875204
406139,2,0.23199770789585208
406139,3,0.24330754537853455
406139,4,0.25070738744326415
406139,5,0.27757208753865653
406145,0,0.15307994019537033
406145,1,0.18355403917047436
406145,2,0.15684331665088183
406145,3,0.15196060253725613
406145,4,0.18166311111562683
406145,5,0.20386837092909582
406148,0,0.21115051012339617
406148,1,0.31967249134986886
406148,2,0.29054587520564884
406148,3,0.27486914517918254
406148,4,0.34339615106309196
406148,5,0.21180474424756793
406180,0,0.23360091397623253
406180,1,0.2518336499181227
406180,2,0.24139657386462532
406180,3,0.2401250760241463
406180,4,0.26249860619562143
406180,5,0.24754156469700947
406190,0,0.19667855044061044
406190,1,0.26079419141933063
406190,2,0.2238483547057993
406190,3,0.21663938340953948
406190,4,0.31443273728327986
406190,5,0.20055712565098138
406196,0,0.2452344159617108
406196,1,0.20842879452594087
406196,2,0.20903317773970254
406196,3,0.2237788394670623
406196,4,0.2042815401629802
406196,5,0.26155175644441225
406504,0,0.09682731798371612
406504,1,0.09633314111450798
406504,2,0.09658692694932151
406504,3,0.10184628209936901
406504,4,0.10014996690946207
406504,5,0.10991394408149027
406509,0,0.14613828718945698
406509,1,0.13376633893359105
406509,2,0.14497818081787722
406509,3,0.14672568170915742
406509,4,0.11824225679003349
406509,5,0.223847078594661
406536,0,0.356772068589661
406536,1,0.2178306841323109
406536,2,0.29025890706620155
406536,3,0.3323192053991857
406536,4,0.27094737475843905
406536,5,0.4424817164560548
406542,0,0.1458030193185952
406542,1,0.2320884413186989
406542,2,0.19650762869023192
406542,3,0.18417828035312014
406542,4,0.34091305263413363
406542,5,0.14181542856197418
406593,0,0.11875975854160783
406593,1,0.15918323470815962
406593,2,0.12191350581691136
406593,3,0.12182927826427759
406593,4,0.1544911587881368
406593,5,0.15777152882505915
406596,0,0.14046038985863485
406596,1,0.1235296596089457
406596,2,0.12225908156174436
406596,3,0.12897696426916588
406596,4,0.13146126813051343
406596,5,0.21360837811726957
406597,0,0.246367287148863
406597,1,0.32160842519312244
406597,2,0.21335665288510697
406597,3,0.18729846222651725
406597,4,0.27654155999335395
406597,5,0.18507339922699015
407002,0,0.21033896314255024
407002,1,0.21872755089951693
407002,2,0.21700675919473916
407002,3,0.22863619774647645
407002,4,0.20996133096219777
407002,5,0.28623567709443437
407025,0,0.070642692924769
407025,1,0.09859817841837185
407025,2,0.09943714524977383
407025,3,0.1088986607528702
407025,4,0.1442615051935565
407025,5,0.08469090770357816
605329,0,0.19084732020028963
605329,1,0.2187675615152142
605329,2,0.18858283799414705
605329,3,0.18761317052227386
605329,4,0.19235381462416937
605329,5,0.19123256089670204
605354,0,0.10393226135388964
605354,1,0.09622717346275049
605354,2,0.09426197191717131
605354,3,0.095411115925868
605354,4,0.1099758930317909
605354,5,0.09577589181486156
605355,0,0.2039090165365891
605355,1,0.12574540016637775
605355,2,0.15621251197409408
605355,3,0.1582944961971434
605355,4,0.1487410231842769
605355,5,0.2611583371432392
605360,0,0.15361113307470425
605360,1,0.157915184555798
605360,2,0.19939623412184185
605360,3,0.18503389978137946
605360,4,0.17283528897785497
605360,5,0.21311978621381494
605365,0,0.10510723558899633
605365,1,0.09626513298198507
605365,2,0.13181586952377491
605365,3,0.1432576387962002
605365,4,0.12380373937911845
605365,5,0.1712497971747125
605368,0,0.23495037793832577
605368,1,0.18337913096324557
605368,2,0.22774018251300404
605368,3,0.24326712731082947
605368,4,0.17144545998276498
605368,5,0.3484552355623757
605369,0,0.19174068591216817
605369,1,0.2715556640785015
605369,2,0.23390668335905465
605369,3,0.2369216587352332
605369,4,0.2907668694043251
605369,5,0.19105816594850414
605370,0,0.15300185302659486
605370,1,0.11200580529705127
605370,2,0.11276654707995952
605370,3,0.1273001330528324
605370,4,0.19211405616765562
605370,5,0.1679531639120153
605373,0,0.053358251140913714
605373,1,0.0504865111376807
605373,2,0.05549058408084343
605373,3,0.059861855390614796
605373,4,0.05222570399318912
605373,5,0.06816009977257613
605374,0,0.5181526773825309
605374,1,0.46121750771485753
605374,2,0.6443186538713007
605374,3,0.650465594031493
605374,4,0.4963446599997655
605374,5,0.748270580409323
605377,0,0.15767435586789613
605377,1,0.16594177284659908
605377,2,0.18493274646141722
605377,3,0.18037416683053825
605377,4,0.12525896612839793
605377,5,0.2602009067690941
605378,0,0.06519036923095174
605378,1,0.061058349279784464
605378,2,0.060686396309742686
605378,3,0.06094482358767673
605378,4,0.06079112520147676
605378,5,0.06553086240301877
605379,0,0.09004924174731402
605379,1,0.10922542807241932
605379,2,0.09657777069683803
605379,3,0.09778730532679444
605379,4,0.186446824979835
605379,5,0.09798301562541252
605380,0,0.15747032620744608
605380,1,0.11836807174300078
605380,2,0.12561165552105955
605380,3,0.12433497220308079
605380,4,0.14143670686898796
605380,5,0.18554036590803494
605381,0,0.5016386772014336
605381,1,0.41618463609686757
605381,2,0.7255287365737562
605381,3,0.79936970047097
605381,4,0.6579946421620372
605381,5,0.8896085801310777
605390,0,0.09608772949993369
605390,1,0.08010791536522159
605390,2,0.08414099265459112
605390,3,0.08699658899334353
605390,4,0.08012833560231167
605390,5,0.10497392856374337
605392,0,0.1959583597359433
605392,1,0.15595543571844564
605392,2,0.16462493349430948
605392,3,0.15503335427525128
605392,4,0.13098350700521247
605392,5,0.17855661826672445
605393,0,0.46815532226251483
605393,1,0.4517484578128542
605393,2,0.49448349705928624
605393,3,0.49098526538418197
605393,4,0.4646384258198548
605393,5,0.5118540545379013
605394,0,0.5625170709857383
605394,1,0.4717211043140637
605394,2,0.7941838204015619
605394,3,0.9403244519436226
605394,4,0.7902820511765712
605394,5,1.0052159131671112
606001,0,0.1385839573297242
606001,1,0.13306910108651557
606001,2,0.15506016968505548
606001,3,0.1693826185609537
606001,4,0.12495078777662587
606001,5,0.18948300599693
606003,0,0.453978124783442
606003,1,0.3685306921711994
606003,2,0.6330343402411295
606003,3,0.6996462559010733
606003,4,0.5594449367368391
606003,5,0.7584582021404066
606006,0,0.4581574986474958
606006,1,0.4683787462874271
606006,2,0.5925982397558884
606006,3,0.6343052111460821
606006,4,0.5181891626559979
606006,5,0.6213875978308491
606012,0,0.08992649159744705
606012,1,0.08714736914855618
606012,2,0.08912526886636542
606012,3,0.08903492268506896
606012,4,0.08824046468532987
606012,5,0.09558667581478256
606016,0,0.4701331014411063
606016,1,0.44508903622969215
606016,2,0.549667825422892
606016,3,0.5637846097561006
606016,4,0.482270068795998
606016,5,0.6090104171150061
606017,0,0.5850380057962689
606017,1,0.45117871167146745
606017,2,0.8460339438112318
606017,3,0.9994661520895083
606017,4,0.8577041641496342
606017,5,1.1516114643675646
606021,0,0.17817007535773913
606021,1,0.17435660594631214
606021,2,0.17748254995952584
606021,3,0.17782864946160432
606021,4,0.17416201692422498
606021,5,0.19117793712103825
606025,0,0.1297602508652647
606025,1,0.11362837245777702
606025,2,0.12758516820450663
606025,3,0.13102135805264278
606025,4,0.11038401895744322
606025,5,0.15435456829757715
606026,0,0.4178039413860858
606026,1,0.3066844679575441
606026,2,0.44482277930462516
606026,3,0.5317549029510376
606026,4,0.4168028060557244
606026,5,0.6753571526395942
606027,0,0.17949551575099937
606027,1,0.15082293518277473
606027,2,0.17629845945158815
606027,3,0.1844655778791487
606027,4,0.1679983818699137
606027,5,0.2323991813454989
606029,0,0.1209942909111285
606029,1,0.11161419410350196
606029,2,0.1036373375242461
606029,3,0.10891226109065967
606029,4,0.13891189930316117
606029,5,0.1686110169727451
606037,0,0.1250621570028001
606037,1,0.13211803615526738
606037,2,0.1240888873457384
606037,3,0.1207885824468794
606037,4,0.157386062972604
606037,5,0.17057652549831406
606043,0,0.37507530883981144
606043,1,0.31775466563802307
606043,2,0.4264007044511105
606043,3,0.44947391762851796
606043,4,0.3672689222636158
606043,5,0.5061996740598738
606044,0,0.08893235950689846
606044,1,0.13603019407326358
606044,2,0.10624500527965644
606044,3,0.10414017519367864
606044,4,0.2125363932885377
606044,5,0.0935538876872724
606047,0,0.741240106453063
606047,1,0.6956954616582962
606047,2,0.8840814151630705
606047,3,0.97414468734499
606047,4,0.8726362108987475
606047,5,1.02017387672061
606048,0,0.08796100088002902
606048,1,0.08828196345635268
606048,2,0.10197041483134735
606048,3,0.10720866230412993
606048,4,0.09494800980164016
606048,5,0.11267434350981927
606049,0,0.1655117077548787
606049,1,0.16759045491926033
606049,2,0.18172088628182123
606049,3,0.17628725650825042
606049,4,0.20711586543064975
606049,5,0.22790720748469284
606057,0,0.10381425240694701
606057,1,0.13046375164564664
606057,2,0.1025323183638694
606057,3,0.10273278885096085
606057,4,0.15204712879012994
606057,5,0.10763931915574486
606062,0,0.16135748350277232
606062,1,0.14112665633145705
606062,2,0.157095443424882
606062,3,0.15709823968641504
606062,4,0.13113081818488756
606062,5,0.18521950395115852
